
【10-28 17:31:36]  X:0.9515467 Y:-0.21305273 Z:-2.738793
【10-28 17:31:36]  X:0.04234423 Y:0.1925464 Z:-1.6113445
【10-28 17:31:37]  X:0.012117374 Y:-0.74848086 Z:1.6889755
【10-28 17:31:37]  X:-0.06351634 Y:0.093476884 Z:2.9145613
【10-28 17:31:37]  X:-0.4551339 Y:0.6962829 Z:1.2379695
【10-28 17:31:37]  X:0.19148114 Y:0.008122635 Z:-0.6546045
【10-28 17:31:37]  X:1.0120004 Y:-0.45060652 Z:-2.3608906
【10-28 17:31:38]  X:0.015313165 Y:0.3772365 Z:-2.5541027
【10-28 17:31:38]  X:-0.36471963 Y:-0.22570273 Z:0.32490543
【10-28 17:31:38]  X:-0.020506324 Y:-0.84075934 Z:3.4205616
【10-28 17:31:38]  X:-1.0567415 Y:0.91093355 Z:2.0656793
【10-28 17:31:38]  X:-0.13848427 Y:0.29481173 Z:-0.34581122
【10-28 17:31:39]  X:1.4178659 Y:-0.31625015 Z:-2.0960393
【10-28 17:31:39]  X:0.42330915 Y:0.22650169 Z:-2.8495803
【10-28 17:31:39]  X:-0.028362645 Y:-0.01944106 Z:-0.7885614
【10-28 17:31:39]  X:-0.39441386 Y:-0.7211835 Z:3.1450577
【10-28 17:31:39]  X:-0.078030564 Y:0.23023011 Z:2.6043034
【10-28 17:31:40]  X:-0.8575372 Y:0.49321705 Z:0.27217487
【10-28 17:31:40]  X:0.972852 Y:-0.080560565 Z:-1.6275897
【10-28 17:31:40]  X:0.9953557 Y:-0.02476738 Z:-3.0439909
【10-28 17:31:40]  X:0.41758335 Y:0.38456017 Z:-1.1302447
【10-28 17:31:40]  X:-0.8795083 Y:-0.7325019 Z:2.023069
【10-28 17:31:40]  X:-0.3319628 Y:-0.33875385 Z:3.2441273
【10-28 17:31:41]  X:-0.61385816 Y:0.90880305 Z:0.62118185
【10-28 17:31:41]  X:0.48149917 Y:-0.216648 Z:-0.9415599
【10-28 17:31:41]  X:1.1909647 Y:-0.31358698 Z:-2.6331985
【10-28 17:31:41]  X:0.39095175 Y:0.5777724 Z:-2.4947143
【10-28 17:31:41]  X:0.015978955 Y:0.029427908 Z:0.62717396
【10-28 17:31:42]  X:-2.145441 Y:-0.39721018 Z:3.5538526
【10-28 17:31:42]  X:-0.881772 Y:0.07643267 Z:1.4815154
【10-28 17:31:42]  X:0.5383576 Y:-0.26125592 Z:-0.014780533
【10-28 17:31:42]  X:1.4547507 Y:-0.30360013 Z:-1.8811225
【10-28 17:31:42]  X:1.117861 Y:-0.04114581 Z:-2.7121613
【10-28 17:31:43]  X:-0.027696855 Y:0.16338481 Z:-0.6451503
【10-28 17:31:43]  X:-0.48389602 Y:-0.54248554 Z:2.1992369
