
【10-28 17:31:44]  X:-3.5727677 Y:-5.0119205 Z:0.12875885
【10-28 17:31:44]  X:6.2700768 Y:-0.21733046 Z:0.9896117
【10-28 17:31:44]  X:5.8142257 Y:5.588936 Z:0.32089442
【10-28 17:31:45]  X:3.7865205 Y:3.1939347 Z:1.36509
【10-28 17:31:45]  X:3.6049824 Y:-3.7708097 Z:0.34828633
【10-28 17:31:45]  X:-1.3207531 Y:-7.9181657 Z:0.24588555
【10-28 17:31:45]  X:-4.169125 Y:-5.7945523 Z:-0.0192613
【10-28 17:31:45]  X:3.5176325 Y:-1.6811767 Z:0.66159725
【10-28 17:31:46]  X:5.533664 Y:4.440435 Z:0.15017566
【10-28 17:31:46]  X:4.563831 Y:4.81621 Z:1.587751
【10-28 17:31:46]  X:3.928584 Y:-2.302465 Z:0.1738171
【10-28 17:31:46]  X:0.302063 Y:-8.090148 Z:0.20331627
【10-28 17:31:46]  X:-4.7004056 Y:-6.001295 Z:-0.51537645
【10-28 17:31:47]  X:1.4871273 Y:-2.6716676 Z:0.36636
【10-28 17:31:47]  X:6.1188927 Y:3.016059 Z:-0.24012278
【10-28 17:31:47]  X:5.007462 Y:5.335884 Z:-0.8055745
【10-28 17:31:47]  X:4.137581 Y:0.13525248 Z:0.4069652
【10-28 17:31:47]  X:1.6359959 Y:-6.154026 Z:1.0465926
【10-28 17:31:48]  X:-4.237085 Y:-6.650817 Z:-0.3581612
【10-28 17:31:48]  X:-0.6828928 Y:-4.2387967 Z:0.1922044
【10-28 17:31:48]  X:4.588153 Y:1.5146885 Z:0.46375805
【10-28 17:31:48]  X:4.911426 Y:5.5560274 Z:-0.015494034
【10-28 17:31:48]  X:4.2581377 Y:2.0229378 Z:0.78442514
【10-28 17:31:49]  X:2.8089676 Y:-5.543085 Z:0.9847999
【10-28 17:31:49]  X:-3.4183073 Y:-7.5258265 Z:-0.1261993
【10-28 17:31:49]  X:-1.7827406 Y:-4.6638403 Z:-0.5496915
【10-28 17:31:49]  X:4.6573076 Y:0.9423542 Z:1.2124901
【10-28 17:31:49]  X:4.432086 Y:4.7763596 Z:0.74894816
【10-28 17:31:50]  X:4.8348956 Y:2.5195823 Z:1.7604538
【10-28 17:31:50]  X:2.1870537 Y:-5.190638 Z:0.9965415
【10-28 17:31:50]  X:-3.0786324 Y:-6.927083 Z:0.30426466
【10-28 17:31:50]  X:-2.0281777 Y:-5.0644693 Z:0.6771227
【10-28 17:31:50]  X:4.47397 Y:0.48371887 Z:0.7332995
【10-28 17:31:51]  X:5.2614975 Y:5.0983343 Z:0.60425717
【10-28 17:31:51]  X:4.221148 Y:2.8281527 Z:1.38426
【10-28 17:31:51]  X:3.1694193 Y:-4.0652757 Z:1.2525434
【10-28 17:31:51]  X:-1.4313898 Y:-8.22095 Z:0.15217158
【10-28 17:31:51]  X:-4.590335 Y:-5.291108 Z:-0.46834594
